População residente enviada ao Tribunal de Contas da União;;;;;;;;;;;;;;;;;;;;
Brasil, Grandes Regiões e Unidades da Federação - 2001-2020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Brasil, Grandes Regiões e;População enviada ao Tribunal de Contas da União;;;;;;;;;;;;;;;;;;;
Unidades da Federação;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Sudeste;73.470.763;74.447.456;75.391.969;77.374.720;78.472.017;79.561.095;77.873.342;80.187.717;80.915.332;80.353.724;80.975.616;81.565.983;84.465.570;85.115.623;85.745.520;86.356.952;86.949.714;87.711.946;88.371.433;89.012.240
Minas Gerais;18.127.096;18.343.517;18.553.312;18.993.720;19.237.450;19.479.356;19.273.533;19.850.072;20.033.665;19.595.309;19.728.701;19.855.332;20.593.356;20.734.097;20.869.101;20.997.560;21.119.536;21.040.662;21.168.791;21.292.666
Espírito Santo;3.155.016;3.201.722;3.250.219;3.352.024;3.408.365;3.464.285;3.351.669;3.453.648;3.487.199;3.512.672;3.547.055;3.578.067;3.839.366;3.885.049;3.929.911;3.973.697;4.016.356;3.972.388;4.018.650;4.064.052
Rio de Janeiro;14.558.545;14.724.475;14.879.118;15.203.750;15.383.407;15.561.720;15.420.450;15.872.362;16.010.429;15.993.583;16.112.678;16.231.365;16.369.179;16.461.173;16.550.024;16.635.996;16.718.956;17.159.960;17.264.943;17.366.189
São Paulo;37.630.106;38.177.742;38.709.320;39.825.226;40.442.795;41.055.734;39.827.690;41.011.635;41.384.039;41.252.160;41.587.182;41.901.219;43.663.669;44.035.304;44.396.484;44.749.699;45.094.866;45.538.936;45.919.049;46.289.333
Região Sul;25.453.264;25.734.253;26.025.091;26.635.629;26.973.511;27.308.863;26.733.877;27.497.970;27.719.118;27.384.815;27.562.433;27.731.644;28.795.762;29.016.114;29.230.180;29.439.773;29.644.948;29.754.036;29.975.984;30.192.315
Paraná;9.694.709;9.798.006;9.906.866;10.135.388;10.261.856;10.387.378;10.284.503;10.590.169;10.686.247;10.439.601;10.512.349;10.577.755;10.997.465;11.081.692;11.163.018;11.242.720;11.320.892;11.348.937;11.433.957;11.516.840
Santa Catarina;5.448.736;5.527.707;5.607.233;5.774.178;5.866.568;5.958.266;5.866.487;6.052.587;6.118.743;6.249.682;6.317.054;6.383.286;6.634.254;6.727.148;6.819.190;6.910.553;7.001.161;7.075.494;7.164.788;7.252.502
Rio Grande do Sul;10.309.819;10.408.540;10.510.992;10.726.063;10.845.087;10.963.219;10.582.887;10.855.214;10.914.128;10.695.532;10.733.030;10.770.603;11.164.043;11.207.274;11.247.972;11.286.500;11.322.895;11.329.605;11.377.239;11.422.973
Região Centro-Oeste;11.885.529;12.101.540;12.317.271;12.770.141;13.020.767;13.269.517;13.223.393;13.695.944;13.895.375;14.050.340;14.244.192;14.423.952;14.993.191;15.219.608;15.442.232;15.660.988;15.875.907;16.085.885;16.297.074;16.504.303
Mato Grosso do Sul;2.111.036;2.140.624;2.169.688;2.230.702;2.264.468;2.297.981;2.265.813;2.336.058;2.360.498;2.449.341;2.477.542;2.505.088;2.587.269;2.619.657;2.651.235;2.682.386;2.713.147;2.748.023;2.778.986;2.809.394
Mato Grosso;2.560.584;2.604.742;2.651.335;2.749.145;2.803.274;2.856.999;2.854.642;2.957.732;3.001.692;3.033.991;3.075.936;3.115.336;3.182.113;3.224.357;3.265.486;3.305.531;3.344.544;3.441.998;3.484.466;3.526.220
Goiás;5.116.462;5.210.335;5.306.459;5.508.245;5.619.917;5.730.753;5.647.035;5.844.996;5.926.300;6.004.045;6.080.716;6.154.996;6.434.048;6.523.222;6.610.681;6.695.855;6.778.772;6.921.161;7.018.354;7.113.540
